knowledge_area,face_to_face,online_competence_score,overall_competence_score
aanpassingen_nestor,7.0,5.88,6.05
afstudeerprocedure,7.5,6.6,6.73
cijferverwerking,8.0,7.12,7.25
contractuele_zaken,8.0,6.67,6.86
dataverwerking_ocasys,8.0,7.23,7.35
diplomas_afgeven,7.5,7.27,7.29
examencommissie_besluiten,8.25,5.68,6.08
kwaliteitswaarborging_onderwijs,8.5,4.57,5.18
niet_reguliere_administratie,7.33,6.9,6.95
ontvangst_exchange_students,8.0,6.4,6.67
roosteren,7.67,6.72,6.88
stagecontracten,7.0,6.6,6.67
vakintekeningen,8.0,7.37,7.47
verwerking_exchange_students,8.0,6.91,7.07
zaalaanvragen,7.5,6.83,6.93
